Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_COUNTY,SF1_P0020001,SF1_P0020002,SF1_P0020003,SF1_P0020004,SF1_P0020005,SF1_P0020006,PCT_SF1_P0020002,PCT_SF1_P0020003,PCT_SF1_P0020004,PCT_SF1_P0020005,PCT_SF1_P0020006
"Alameda County","Alameda County, California","1914046110","213184643","050","00","4","9","06001","06","001",1510271,1504402,1504402,0,5869,0,99.61,99.61,0,0.39,0
"Alpine County","Alpine County, California","1912271907","12557251","050","00","4","9","06003","06","003",1175,0,0,0,1175,0,0,0,0,100,0
"Amador County","Amador County, California","1539962991","29456575","050","00","4","9","06005","06","005",38091,15075,0,15075,23016,0,39.58,0,39.58,60.42,0
"Butte County","Butte County, California","4238423238","105325758","050","00","4","9","06007","06","007",220000,178416,98176,80240,41584,0,81.1,44.63,36.47,18.9,0
"Calaveras County","Calaveras County, California","2641819725","43810420","050","00","4","9","06009","06","009",45578,11208,0,11208,34370,0,24.59,0,24.59,75.41,0
"Colusa County","Colusa County, California","2980379369","14581020","050","00","4","9","06011","06","011",21419,14624,0,14624,6795,0,68.28,0,68.28,31.72,0
"Contra Costa County","Contra Costa County, California","1854268836","227485306","050","00","4","9","06013","06","013",1049025,1040709,1026665,14044,8316,0,99.21,97.87,1.34,0.79,0
"Del Norte County","Del Norte County, California","2606493856","578525663","050","00","4","9","06015","06","015",28610,18976,0,18976,9634,0,66.33,0,66.33,33.67,0
"El Dorado County","El Dorado County, California","4423396606","203243236","050","00","4","9","06017","06","017",181058,118231,61422,56809,62827,0,65.3,33.92,31.38,34.7,0
"Fresno County","Fresno County, California","15431126407","137815999","050","00","4","9","06019","06","019",930450,829913,654628,175285,100537,0,89.19,70.36,18.84,10.81,0
"Glenn County","Glenn County, California","3403106702","33750196","050","00","4","9","06021","06","021",28122,16628,0,16628,11494,0,59.13,0,59.13,40.87,0
"Humboldt County","Humboldt County, California","9241044673","1254256396","050","00","4","9","06023","06","023",134623,94561,0,94561,40062,0,70.24,0,70.24,29.76,0
"Imperial County","Imperial County, California","10817352524","790247942","050","00","4","9","06025","06","025",174528,144129,108683,35446,30399,0,82.58,62.27,20.31,17.42,0
"Inyo County","Inyo County, California","26368354217","119208057","050","00","4","9","06027","06","027",18546,9935,0,9935,8611,0,53.57,0,53.57,46.43,0
"Kern County","Kern County, California","21061565098","79577235","050","00","4","9","06029","06","029",839631,753938,578366,175572,85693,0,89.79,68.88,20.91,10.21,0
"Kings County","Kings County, California","3598582308","5468555","050","00","4","9","06031","06","031",152982,136381,87941,48440,16601,0,89.15,57.48,31.66,10.85,0
"Lake County","Lake County, California","3254227528","188962335","050","00","4","9","06033","06","033",64665,43257,0,43257,21408,0,66.89,0,66.89,33.11,0
"Lassen County","Lassen County, California","11761612172","463440721","050","00","4","9","06035","06","035",34895,10285,0,10285,24610,0,29.47,0,29.47,70.53,0
"Los Angeles County","Los Angeles County, California","10509869649","1795012906","050","00","4","9","06037","06","037",9818605,9759181,9743650,15531,59424,0,99.39,99.24,0.16,0.61,0
"Madera County","Madera County, California","5534982985","41957504","050","00","4","9","06039","06","039",150865,101193,78413,22780,49672,0,67.08,51.98,15.1,32.92,0
"Marin County","Marin County, California","1347585521","797420433","050","00","4","9","06041","06","041",252409,235952,235952,0,16457,0,93.48,93.48,0,6.52,0
"Mariposa County","Mariposa County, California","3752416976","36271400","050","00","4","9","06043","06","043",18251,0,0,0,18251,0,0,0,0,100,0
"Mendocino County","Mendocino County, California","9081386386","962952644","050","00","4","9","06045","06","045",87841,48110,0,48110,39731,0,54.77,0,54.77,45.23,0
"Merced County","Merced County, California","5011554741","112760487","050","00","4","9","06047","06","047",255793,219283,161757,57526,36510,0,85.73,63.24,22.49,14.27,0
"Modoc County","Modoc County, California","10146977156","739774453","050","00","4","9","06049","06","049",9686,2910,0,2910,6776,0,30.04,0,30.04,69.96,0
"Mono County","Mono County, California","7896827391","214695487","050","00","4","9","06051","06","051",14202,7693,0,7693,6509,0,54.17,0,54.17,45.83,0
"Monterey County","Monterey County, California","8496702738","1270714482","050","00","4","9","06053","06","053",415057,374315,306096,68219,40742,0,90.18,73.75,16.44,9.82,0
"Napa County","Napa County, California","1938247338","104169342","050","00","4","9","06055","06","055",136484,118194,103379,14815,18290,0,86.6,75.74,10.85,13.4,0
"Nevada County","Nevada County, California","2480616988","41514942","050","00","4","9","06057","06","057",98764,57150,0,57150,41614,0,57.87,0,57.87,42.13,0
"Orange County","Orange County, California","2047561084","407916814","050","00","4","9","06059","06","059",3010232,3005917,3005917,0,4315,0,99.86,99.86,0,0.14,0
"Placer County","Placer County, California","3644136017","247205361","050","00","4","9","06061","06","061",348432,300393,254704,45689,48039,0,86.21,73.1,13.11,13.79,0
"Plumas County","Plumas County, California","6612350713","156395470","050","00","4","9","06063","06","063",20007,5197,0,5197,14810,0,25.98,0,25.98,74.02,0
"Riverside County","Riverside County, California","18664696661","251073334","050","00","4","9","06065","06","065",2189641,2088429,2022683,65746,101212,0,95.38,92.38,3,4.62,0
"Sacramento County","Sacramento County, California","2498415670","76077248","050","00","4","9","06067","06","067",1418788,1389531,1359243,30288,29257,0,97.94,95.8,2.13,2.06,0
"San Benito County","San Benito County, California","3596742302","4555039","050","00","4","9","06069","06","069",55269,42002,0,42002,13267,0,76,0,76,24,0
"San Bernardino County","San Bernardino County, California","51947229509","124028343","050","00","4","9","06071","06","071",2035210,1938853,1792222,146631,96357,0,95.27,88.06,7.2,4.73,0
